# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
7.30446        	-1.04764844e-07	3.96499684e-01	-5.59323293e-05	-2.80709295e-05	-2.78613998e-05
7.34281        	3.75915335e-07	3.95463975e-01	-5.74844800e-05	-2.83663246e-05	-2.91181553e-05
7.38117        	7.11039921e-08	3.93950399e-01	-5.93789392e-05	-2.96183656e-05	-2.97605736e-05
7.41952        	-7.07071820e-07	3.92662182e-01	-7.49357370e-05	-3.81749403e-05	-3.67607967e-05
7.45799        	-1.68090394e-07	3.91684959e-01	-5.62062084e-05	-2.82711946e-05	-2.79350138e-05
7.49647        	-1.81717755e-07	3.90233123e-01	-6.79126913e-05	-3.41380634e-05	-3.37746279e-05
7.53494        	-2.19346513e-06	3.89507696e-01	-7.09609837e-05	-3.76739570e-05	-3.32870267e-05
7.57341        	-7.05233835e-07	3.88905756e-01	-6.86969915e-05	-3.50537296e-05	-3.36432619e-05
7.61188        	8.10567270e-07	3.88472844e-01	-6.50146420e-05	-3.16967537e-05	-3.33178883e-05
7.65035        	-6.13877178e-07	3.88235951e-01	-6.79324050e-05	-3.45800797e-05	-3.33523253e-05
7.68883        	-1.04047135e-06	3.88199334e-01	-7.02541832e-05	-3.61675629e-05	-3.40866202e-05
7.7273         	-1.59038618e-07	3.88337252e-01	-7.04582968e-05	-3.53881870e-05	-3.50701098e-05
7.76577        	-2.00614977e-06	3.88156549e-01	-8.11249470e-05	-4.25686233e-05	-3.85563238e-05
7.80424        	1.30515917e-06	3.88633324e-01	-5.74594078e-05	-2.74245448e-05	-3.00348631e-05
