# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
12.2918        	-6.74813472e-07	1.07443230e+00	-2.26857261e-05	-1.20176765e-05	-1.06680496e-05
12.355         	-6.52203093e-07	1.07344657e+00	-2.29638625e-05	-1.21341344e-05	-1.08297282e-05
12.4181        	-6.46654365e-07	1.07274854e+00	-2.19348924e-05	-1.16141005e-05	-1.03207918e-05
12.4813        	-6.17870615e-07	1.07180664e+00	-1.93563293e-05	-1.02960353e-05	-9.06029405e-06
12.5445        	-5.88394765e-07	1.07087594e+00	-2.03550703e-05	-1.07659299e-05	-9.58914040e-06
12.6077        	-5.60115306e-07	1.06983449e+00	-2.64441744e-05	-1.37822025e-05	-1.26619719e-05
12.6709        	-5.35898753e-07	1.06893831e+00	-3.52629889e-05	-1.81673932e-05	-1.70955957e-05
12.7341        	-5.14878438e-07	1.06804998e+00	-3.74773492e-05	-1.92535531e-05	-1.82237962e-05
12.7972        	-4.97120063e-07	1.06715803e+00	-3.80548238e-05	-1.95245319e-05	-1.85302918e-05
12.8604        	-4.83882059e-07	1.06626446e+00	-3.95210612e-05	-2.02444127e-05	-1.92766486e-05
12.9236        	-4.75185001e-07	1.06538582e+00	-4.11439556e-05	-2.10471628e-05	-2.00967928e-05
12.9868        	-4.70926799e-07	1.06451467e+00	-4.30992850e-05	-2.20205693e-05	-2.10787157e-05
13.05          	-4.71322579e-07	1.06363901e+00	-4.88210003e-05	-2.48818227e-05	-2.39391776e-05
13.1131        	-4.76531023e-07	1.06288353e+00	-5.04375928e-05	-2.56953274e-05	-2.47422654e-05
13.1763        	-4.86036038e-07	1.06213877e+00	-5.31300774e-05	-2.70510747e-05	-2.60790027e-05
13.2395        	-4.97706651e-07	1.06119492e+00	-4.75820336e-05	-2.42887235e-05	-2.32933102e-05
13.3027        	-5.11009926e-07	1.06028710e+00	-5.56330176e-05	-2.83275187e-05	-2.73054989e-05
